cliente_id,nome,idade,genero,regiao,tipo_contrato,plano,valor_mensal,tempo_cliente_meses,data_contratacao,chamadas_por_mes,minutos_usados,sms_enviados,uso_dados_gb,num_reclamacoes,satisfacao_1_10,ultimo_login_dias,metodo_pagamento,tem_fibra,tem_celular_empresarial,promocoes_ativas,desconto_percentual,churn
CL000022,Cliente_22,41,F,Nordeste,Mensal,Padrão,216.04,16,2023-07-29,359,1547,53,20.0,0,5,0,Boleto,False,True,0,0,0
CL000023,Cliente_23,61,M,Centro-Oeste,Mensal,Padrão,74.58,45,2022-07-23,365,1623,485,83.9,2,9,4,Boleto,False,False,1,20,0
CL000024,Cliente_24,47,M,Sul,Bienal,Familia,292.96,1,2023-10-28,428,487,165,94.6,7,7,13,Boleto,False,True,2,15,1
CL000025,Cliente_25,55,F,Nordeste,Anual,Premium,267.1,3,2023-12-20,120,675,253,24.4,1,5,29,Débito Automático,False,False,2,20,0
CL000026,Cliente_26,19,F,Sudeste,Mensal,Familia,206.58,56,2023-07-13,277,1811,275,69.0,6,9,37,Débito Automático,False,False,1,5,1
CL000027,Cliente_27,38,F,Nordeste,Mensal,Básico,254.76,6,2023-03-06,434,553,153,74.9,6,1,22,PIX,True,True,1,15,1
CL000028,Cliente_28,50,F,Centro-Oeste,Mensal,Familia,271.9,52,2022-08-14,162,1718,127,31.2,1,3,6,Boleto,True,False,3,5,1
CL000029,Cliente_29,29,M,Sul,Mensal,Básico,114.87,53,2023-04-05,342,1026,485,48.0,1,2,43,Cartão de Crédito,True,False,0,10,0
CL000030,Cliente_30,39,F,Centro-Oeste,Bienal,Básico,262.35,58,2023-08-27,354,1125,75,10.7,3,7,38,Cartão de Crédito,False,False,1,5,1
CL000031,Cliente_31,61,M,Nordeste,Bienal,Básico,98.7,3,2022-10-12,340,910,374,18.1,1,9,49,Cartão de Crédito,True,False,1,10,1
CL000032,Cliente_32,42,F,Sudeste,Mensal,Básico,153.34,47,2022-01-07,154,1852,220,7.1,2,2,53,Cartão de Crédito,True,False,1,5,1
CL000033,Cliente_33,66,M,Sudeste,Anual,Padrão,189.56,30,2022-06-13,340,1365,269,56.5,0,6,15,Boleto,True,False,0,0,0
CL000034,Cliente_34,44,F,Sudeste,Mensal,Padrão,228.47,47,2023-12-16,58,908,433,62.9,1,2,8,Cartão de Crédito,False,False,0,0,0
CL000035,Cliente_35,59,M,Sul,Mensal,Familia,57.54,11,2023-03-09,214,1183,122,91.7,5,3,38,Boleto,False,False,0,20,1
CL000036,Cliente_36,45,M,Centro-Oeste,Bienal,Padrão,122.63,27,2022-12-15,109,467,24,54.7,4,1,54,Cartão de Crédito,True,False,0,5,1
CL000037,Cliente_37,33,F,Sudeste,Anual,Básico,202.13,22,2022-10-12,361,1838,438,26.8,5,6,45,Cartão de Crédito,True,False,3,20,1
CL000038,Cliente_38,32,M,Nordeste,Mensal,Premium,139.34,6,2022-06-09,155,1041,434,6.9,5,2,33,Débito Automático,False,True,3,10,1
CL000039,Cliente_39,64,F,Nordeste,Mensal,Familia,243.76,38,2022-08-09,160,139,105,88.6,0,3,30,Boleto,False,False,1,0,0
CL000040,Cliente_40,68,M,Nordeste,Anual,Básico,212.91,41,2022-12-11,138,1438,105,48.4,2,6,44,PIX,False,False,0,0,0
CL000041,Cliente_41,61,M,Sudeste,Anual,Padrão,108.6,46,2022-04-15,317,656,102,74.0,7,6,6,Cartão de Crédito,False,True,1,15,0
CL000042,Cliente_42,72,M,Sudeste,Mensal,Básico,86.48,31,2022-04-05,279,1421,473,2.5,7,4,56,Boleto,False,False,0,0,1
CL000043,Cliente_43,69,M,Sudeste,Mensal,Básico,207.26,58,2023-01-25,376,1754,265,49.3,3,1,50,Débito Automático,False,False,1,0,1
CL000044,Cliente_44,74,F,Sudeste,Mensal,Familia,162.62,43,2022-04-10,120,1016,13,33.2,6,7,1,Boleto,True,False,2,0,0
CL000045,Cliente_45,20,M,Sudeste,Bienal,Premium,92.24,56,2023-01-03,168,1120,132,4.0,7,2,5,PIX,True,False,0,5,1
CL000046,Cliente_46,54,F,Sudeste,Anual,Básico,131.59,6,2022-12-19,437,742,440,77.8,2,6,43,Cartão de Crédito,True,False,1,0,0
CL000047,Cliente_47,68,F,Sul,Mensal,Premium,125.76,50,2023-09-11,494,549,21,51.8,5,7,33,Cartão de Crédito,True,False,1,0,1
CL000048,Cliente_48,24,M,Sudeste,Anual,Padrão,77.03,20,2022-09-28,478,494,74,34.0,3,2,16,Cartão de Crédito,False,False,0,10,0
CL000049,Cliente_49,38,F,Norte,Anual,Premium,186.73,47,2022-02-14,400,891,284,80.8,0,6,25,Cartão de Crédito,True,False,0,25,0
CL000050,Cliente_50,26,F,Sudeste,Mensal,Premium,240.91,54,2023-04-16,483,1685,390,45.2,6,1,11,Débito Automático,False,True,3,25,0
CL000051,Cliente_51,56,F,Sudeste,Mensal,Básico,193.87,41,2023-07-04,355,187,243,1.3,3,6,19,Boleto,True,False,1,15,0
CL000052,Cliente_52,35,M,Nordeste,Anual,Básico,256.57,11,2022-05-08,152,632,255,94.5,0,8,40,Cartão de Crédito,False,True,2,0,0
CL000053,Cliente_53,21,M,Sudeste,Anual,Básico,81.89,2,2023-01-23,251,1511,145,26.3,7,8,57,Boleto,False,True,3,0,1
CL000054,Cliente_54,42,F,Centro-Oeste,Anual,Premium,158.9,31,2022-03-22,481,843,414,83.2,6,7,45,Débito Automático,True,False,0,0,0
CL000055,Cliente_55,31,F,Sudeste,Bienal,Familia,202.35,38,2023-07-20,72,480,426,81.8,2,4,34,Boleto,False,False,2,10,1
CL000056,Cliente_56,67,F,Norte,Mensal,Familia,219.0,26,2022-10-28,139,1678,211,17.1,5,4,34,Cartão de Crédito,True,False,1,15,0
CL000057,Cliente_57,26,M,Centro-Oeste,Mensal,Básico,223.95,27,2023-10-06,142,530,248,47.9,2,5,53,Cartão de Crédito,False,False,3,5,0
CL000058,Cliente_58,43,F,Nordeste,Bienal,Padrão,232.24,58,2023-09-26,313,1658,34,5.0,3,8,28,Boleto,False,False,3,0,0
CL000059,Cliente_59,70,M,Nordeste,Mensal,Básico,212.86,58,2023-01-06,334,1339,326,36.1,6,4,47,Boleto,False,False,1,20,1
CL000060,Cliente_60,19,F,Sul,Anual,Premium,73.56,55,2023-08-15,220,376,252,73.4,4,9,37,PIX,False,True,2,5,0
CL000061,Cliente_61,37,M,Nordeste,Anual,Básico,223.83,46,2022-07-16,358,293,349,24.5,5,3,30,PIX,True,False,0,0,1
CL000062,Cliente_62,45,F,Sul,Anual,Básico,231.2,46,2023-12-23,439,1850,259,12.6,5,9,39,PIX,True,False,3,5,1
CL000063,Cliente_63,64,M,Sudeste,Mensal,Básico,298.37,31,2022-03-13,270,278,306,51.2,2,2,12,Boleto,True,False,1,0,0
CL000064,Cliente_64,24,M,Sudeste,Anual,Básico,223.34,24,2022-02-16,73,1266,349,54.2,3,6,25,Cartão de Crédito,True,False,0,0,1
CL000065,Cliente_65,61,F,Nordeste,Anual,Padrão,221.71,13,2023-11-09,425,1949,285,67.9,1,5,21,Cartão de Crédito,False,False,0,10,0
CL000066,Cliente_66,25,M,Nordeste,Anual,Básico,178.7,25,2022-08-22,251,1661,349,76.2,7,5,7,Boleto,False,False,2,10,1
CL000067,Cliente_67,64,M,Centro-Oeste,Mensal,Padrão,266.98,37,2022-10-24,173,317,180,69.9,7,6,39,PIX,False,False,1,0,0
CL000068,Cliente_68,52,M,Sudeste,Mensal,Premium,299.21,41,2022-03-23,191,1634,209,84.7,0,10,6,Cartão de Crédito,False,False,0,5,0
CL000069,Cliente_69,31,F,Centro-Oeste,Mensal,Básico,244.76,25,2022-08-27,101,1087,490,23.1,1,7,4,Boleto,True,True,0,15,0
CL000070,Cliente_70,34,F,Sudeste,Mensal,Básico,203.13,29,2022-04-14,119,1182,109,57.4,6,4,51,Débito Automático,False,True,3,15,1
CL000071,Cliente_71,53,M,Nordeste,Mensal,Básico,69.74,31,2023-01-25,309,1469,329,36.6,7,4,0,Cartão de Crédito,True,False,0,5,0
CL000072,Cliente_72,67,F,Sudeste,Bienal,Padrão,231.68,43,2022-10-12,235,656,141,96.2,1,9,44,Cartão de Crédito,True,True,1,0,1
CL000073,Cliente_73,57,F,Nordeste,Anual,Padrão,227.14,39,2023-04-10,421,1542,163,44.6,1,4,53,Cartão de Crédito,True,False,3,0,0
CL000074,Cliente_74,21,M,Sudeste,Anual,Básico,243.89,2,2023-10-13,256,1347,86,96.0,3,8,39,Cartão de Crédito,True,False,2,15,0
CL000075,Cliente_75,19,F,Nordeste,Anual,Padrão,81.14,56,2023-01-09,342,1473,139,77.1,2,10,10,Boleto,True,False,3,0,0
CL000076,Cliente_76,23,F,Centro-Oeste,Mensal,Familia,213.43,12,2022-06-16,353,867,331,72.1,5,1,51,Cartão de Crédito,True,False,2,15,1
CL000077,Cliente_77,71,F,Nordeste,Bienal,Padrão,123.93,5,2023-01-15,427,1745,161,49.7,1,4,31,Cartão de Crédito,False,False,1,5,0
CL000078,Cliente_78,59,M,Nordeste,Mensal,Premium,240.07,27,2022-12-30,88,1955,25,44.9,6,2,6,Cartão de Crédito,False,True,2,5,0
CL000079,Cliente_79,21,F,Centro-Oeste,Mensal,Padrão,110.09,56,2022-08-03,397,1975,133,53.1,7,10,50,Boleto,False,False,2,5,0
CL000080,Cliente_80,71,F,Sul,Mensal,Premium,220.99,34,2023-11-18,115,1885,356,30.1,3,5,28,Débito Automático,True,False,2,0,0
CL000081,Cliente_81,46,M,Nordeste,Bienal,Familia,123.75,14,2022-10-01,62,176,114,90.5,7,2,29,Boleto,True,True,2,10,0
CL000082,Cliente_82,35,M,Sudeste,Bienal,Básico,52.25,7,2023-12-20,243,1918,180,79.6,7,7,20,Boleto,True,True,2,0,0
CL000083,Cliente_83,43,M,Centro-Oeste,Mensal,Básico,208.34,37,2023-12-01,365,698,398,80.3,2,10,38,Boleto,False,True,3,5,1
CL000084,Cliente_84,61,M,Sul,Bienal,Premium,78.32,36,2023-10-26,431,1885,361,43.9,0,7,47,Boleto,False,False,0,0,1
CL000085,Cliente_85,51,F,Sudeste,Mensal,Básico,214.82,10,2022-03-15,474,1331,358,8.0,2,9,43,Cartão de Crédito,True,True,3,0,0
CL000086,Cliente_86,27,M,Sudeste,Mensal,Familia,281.4,29,2023-09-16,337,1282,146,68.6,2,4,42,Cartão de Crédito,False,False,3,0,0
CL000087,Cliente_87,53,M,Centro-Oeste,Anual,Premium,292.31,16,2023-10-13,485,623,359,38.1,7,5,56,PIX,True,False,1,0,0
CL000088,Cliente_88,31,F,Sudeste,Bienal,Básico,108.98,38,2022-06-25,182,1348,430,87.2,1,3,40,Boleto,True,True,0,0,1
CL000089,Cliente_89,48,M,Norte,Anual,Familia,252.31,21,2023-07-01,244,1481,214,78.3,6,7,38,Débito Automático,False,False,0,0,1
CL000090,Cliente_90,65,Outro,Sudeste,Anual,Básico,138.39,38,2022-09-08,371,912,483,15.4,3,5,19,PIX,True,False,1,15,0
CL000091,Cliente_91,32,M,Centro-Oeste,Anual,Básico,275.11,41,2022-06-17,127,483,76,60.6,5,9,21,Boleto,False,False,0,0,1
CL000092,Cliente_92,25,M,Nordeste,Anual,Básico,246.87,33,2023-04-19,299,1667,94,69.5,6,7,28,Cartão de Crédito,False,True,2,15,1
CL000093,Cliente_93,31,M,Nordeste,Bienal,Básico,68.48,29,2023-01-24,281,1689,444,57.2,4,4,45,Débito Automático,True,False,0,15,0
CL000094,Cliente_94,40,M,Centro-Oeste,Anual,Premium,151.78,48,2022-10-04,229,603,484,51.9,0,7,3,Boleto,False,True,1,5,0
CL000095,Cliente_95,74,M,Nordeste,Bienal,Premium,134.33,59,2023-10-18,431,1573,217,23.6,3,1,2,PIX,True,False,3,5,0
CL000096,Cliente_96,57,F,Nordeste,Bienal,Padrão,246.3,17,2023-12-06,226,341,362,24.4,5,2,8,Débito Automático,True,False,0,10,1
CL000097,Cliente_97,38,Outro,Sudeste,Mensal,Familia,152.57,13,2023-07-25,78,468,367,77.0,1,3,4,Débito Automático,True,True,2,10,0
CL000098,Cliente_98,33,M,Sudeste,Anual,Premium,221.15,6,2022-08-13,215,1750,51,2.9,7,5,55,Boleto,True,False,1,5,0
CL000099,Cliente_99,62,F,Sudeste,Mensal,Premium,200.61,2,2023-12-03,375,1594,273,78.1,3,5,2,Cartão de Crédito,True,False,0,5,1
CL000100,Cliente_100,35,F,Sul,Mensal,Básico,293.91,8,2022-11-29,275,387,443,53.2,5,7,24,Débito Automático,False,False,3,5,0
CL000101,Cliente_101,64,F,Sudeste,Anual,Padrão,284.45,55,2022-02-27,185,498,174,93.7,4,9,31,Cartão de Crédito,True,True,2,20,1
CL000102,Cliente_102,70,M,Sudeste,Mensal,Básico,156.92,54,2022-08-23,236,203,312,99.7,0,10,32,Cartão de Crédito,True,False,1,10,0
CL000103,Cliente_103,41,M,Nordeste,Anual,Familia,230.89,32,2022-02-02,104,1434,32,66.7,6,9,17,Débito Automático,True,False,1,0,0
CL000104,Cliente_104,43,M,Sul,Bienal,Premium,257.37,36,2022-11-20,415,1932,359,41.8,2,6,44,Cartão de Crédito,True,True,2,0,0
CL000105,Cliente_105,42,F,Sul,Mensal,Familia,274.72,9,2023-02-15,51,226,415,48.0,5,7,35,Débito Automático,False,True,1,5,1
CL000106,Cliente_106,62,F,Sudeste,Mensal,Básico,67.03,23,2022-10-02,459,139,131,21.2,0,8,49,Cartão de Crédito,False,False,1,0,1
CL000107,Cliente_107,58,M,Sudeste,Bienal,Padrão,125.52,7,2022-03-09,368,1195,424,10.8,6,4,40,Débito Automático,False,False,3,25,0
CL000108,Cliente_108,46,M,Norte,Mensal,Básico,130.06,31,2022-08-05,66,1870,274,58.3,4,7,28,Boleto,True,False,0,5,0
CL000109,Cliente_109,32,F,Sudeste,Mensal,Padrão,158.61,21,2023-08-04,108,981,6,80.7,0,6,38,Débito Automático,False,False,2,15,0
CL000110,Cliente_110,62,F,Centro-Oeste,Mensal,Premium,92.32,1,2022-11-19,137,1044,494,26.9,5,8,46,Débito Automático,True,False,0,0,1
CL000111,Cliente_111,18,Outro,Centro-Oeste,Anual,Premium,174.05,46,2022-08-06,272,346,226,42.5,0,1,44,PIX,True,False,3,10,1
CL000112,Cliente_112,42,F,Centro-Oeste,Anual,Básico,215.8,2,2023-11-03,321,1929,254,55.9,1,5,1,Cartão de Crédito,False,False,0,0,1
CL000113,Cliente_113,24,M,Sudeste,Anual,Familia,174.34,40,2023-05-27,107,1370,281,90.9,2,3,10,Débito Automático,False,False,3,15,1
CL000114,Cliente_114,26,F,Centro-Oeste,Mensal,Padrão,216.45,11,2023-02-10,241,411,235,14.7,7,9,58,PIX,True,False,0,20,0
CL000115,Cliente_115,41,F,Centro-Oeste,Anual,Básico,66.61,37,2023-10-21,99,133,342,24.5,4,9,30,Cartão de Crédito,False,False,2,10,0
CL000116,Cliente_116,18,M,Sul,Anual,Básico,269.0,18,2023-04-15,262,228,353,91.9,7,3,3,Cartão de Crédito,False,False,1,0,0
CL000117,Cliente_117,61,F,Sudeste,Mensal,Premium,284.77,44,2022-05-27,279,109,434,4.9,7,10,28,Débito Automático,False,True,2,5,0
CL000118,Cliente_118,25,F,Sudeste,Anual,Padrão,204.48,53,2022-09-29,203,1291,183,66.0,1,2,53,Boleto,True,False,1,0,0
CL000119,Cliente_119,41,M,Sudeste,Anual,Padrão,270.35,24,2022-05-23,322,1907,198,64.3,0,5,49,Cartão de Crédito,True,False,2,5,1
CL000120,Cliente_120,28,F,Nordeste,Anual,Padrão,82.86,52,2022-09-10,419,1339,202,38.9,0,4,56,Cartão de Crédito,True,False,1,5,1
CL000121,Cliente_121,68,F,Sul,Mensal,Básico,249.36,19,2023-07-29,95,1041,434,47.3,6,7,2,Cartão de Crédito,False,False,0,5,1
CL000122,Cliente_122,34,F,Nordeste,Mensal,Familia,79.79,5,2023-07-06,411,1531,135,85.6,7,8,1,Débito Automático,False,False,0,0,1
CL000123,Cliente_123,25,M,Nordeste,Mensal,Familia,152.0,29,2022-09-27,432,1875,396,17.3,3,4,43,PIX,True,False,1,5,0
CL000124,Cliente_124,52,M,Nordeste,Mensal,Padrão,130.95,39,2023-08-22,355,1649,287,23.9,1,3,35,Débito Automático,True,False,0,0,1
CL000125,Cliente_125,52,F,Sul,Anual,Básico,196.4,2,2023-03-15,476,1725,488,51.7,4,9,13,Boleto,False,False,3,0,0
CL000126,Cliente_126,50,M,Norte,Mensal,Padrão,125.38,17,2023-08-21,167,1034,289,41.6,4,8,47,Boleto,False,False,2,15,0
CL000127,Cliente_127,22,F,Sudeste,Anual,Básico,209.33,45,2023-02-13,225,1141,145,57.9,7,7,52,Boleto,False,True,2,15,0
CL000128,Cliente_128,59,F,Nordeste,Mensal,Básico,141.85,11,2023-01-06,117,439,206,92.2,6,8,3,Boleto,False,False,2,5,0
CL000129,Cliente_129,56,M,Sudeste,Mensal,Básico,265.2,37,2022-08-13,300,780,54,91.8,7,8,43,PIX,True,False,1,15,1
CL000130,Cliente_130,58,F,Sul,Anual,Básico,208.47,13,2022-05-22,452,1691,298,23.8,4,10,29,PIX,False,False,1,5,1
CL000131,Cliente_131,45,F,Sul,Mensal,Básico,103.82,29,2023-06-06,279,1799,407,30.9,5,8,18,Cartão de Crédito,True,False,2,0,0
CL000132,Cliente_132,24,M,Norte,Bienal,Básico,134.03,55,2023-05-21,458,1787,494,17.0,5,1,18,Débito Automático,False,False,1,0,1
CL000133,Cliente_133,26,F,Sudeste,Mensal,Básico,261.86,32,2022-04-04,249,1213,404,92.9,5,4,43,Cartão de Crédito,False,False,3,5,0
CL000134,Cliente_134,25,F,Norte,Mensal,Padrão,146.62,45,2022-02-18,195,1408,401,40.4,4,10,30,Débito Automático,True,False,3,15,0
CL000135,Cliente_135,29,F,Sudeste,Anual,Básico,183.95,40,2022-04-23,100,633,397,45.5,0,7,14,Cartão de Crédito,True,False,2,0,0
CL000136,Cliente_136,51,F,Sul,Anual,Premium,212.24,43,2022-06-06,451,1390,249,80.5,5,6,28,Débito Automático,False,False,0,0,0
CL000137,Cliente_137,50,M,Sudeste,Mensal,Básico,136.95,8,2023-10-05,417,908,436,51.8,0,3,2,Cartão de Crédito,True,True,0,5,0
CL000138,Cliente_138,65,F,Centro-Oeste,Mensal,Familia,123.49,10,2022-06-13,235,532,274,12.9,6,3,18,Cartão de Crédito,True,False,0,0,0
CL000139,Cliente_139,72,F,Nordeste,Anual,Padrão,168.81,25,2023-11-28,369,857,204,44.3,1,4,21,Cartão de Crédito,True,False,2,5,0
CL000140,Cliente_140,40,F,Sul,Bienal,Básico,103.72,59,2023-03-09,248,750,312,63.4,2,10,46,PIX,False,True,1,0,1
CL000141,Cliente_141,41,F,Centro-Oeste,Bienal,Familia,121.05,11,2023-09-03,490,1175,191,72.2,6,6,19,Cartão de Crédito,False,True,2,0,1
CL000142,Cliente_142,54,M,Sudeste,Mensal,Premium,65.52,28,2022-03-07,194,1190,335,64.9,4,1,54,Cartão de Crédito,False,True,2,20,1
CL000143,Cliente_143,52,F,Sudeste,Bienal,Familia,125.99,33,2023-01-30,108,696,1,12.8,0,10,6,Boleto,False,False,2,10,0
CL000144,Cliente_144,61,M,Centro-Oeste,Mensal,Premium,130.18,39,2023-01-26,244,349,184,31.1,1,4,3,Boleto,False,True,0,0,0
CL000145,Cliente_145,57,M,Sudeste,Mensal,Premium,290.46,26,2023-09-03,192,1454,161,73.6,4,9,0,Débito Automático,False,True,0,5,0
CL000146,Cliente_146,39,M,Sudeste,Anual,Básico,197.43,8,2023-04-25,272,1003,48,88.1,2,7,40,Cartão de Crédito,False,False,0,0,0
CL000147,Cliente_147,44,Outro,Nordeste,Mensal,Básico,246.85,38,2023-06-26,149,514,89,5.7,4,6,6,Cartão de Crédito,False,True,2,15,0
CL000148,Cliente_148,52,F,Sul,Mensal,Básico,61.34,26,2022-09-15,75,1246,437,5.2,5,5,21,Cartão de Crédito,False,False,1,15,1
CL000149,Cliente_149,18,F,Sudeste,Mensal,Padrão,76.63,32,2023-07-21,481,1325,250,64.7,3,2,36,Cartão de Crédito,True,False,1,5,1
CL000150,Cliente_150,52,F,Sudeste,Mensal,Padrão,253.63,46,2022-01-12,63,105,21,55.3,7,2,56,Débito Automático,False,True,1,5,1
CL000151,Cliente_151,54,F,Sudeste,Anual,Básico,205.89,28,2023-11-28,171,948,211,16.4,4,6,29,PIX,False,True,1,0,1
CL000152,Cliente_152,64,F,Nordeste,Anual,Básico,97.75,52,2022-04-28,314,1609,476,55.3,3,9,8,Boleto,True,True,1,0,0
CL000153,Cliente_153,31,F,Centro-Oeste,Mensal,Premium,151.2,7,2023-11-30,56,1322,465,97.5,2,9,57,Cartão de Crédito,True,False,1,5,0
CL000154,Cliente_154,20,M,Norte,Anual,Premium,184.67,35,2023-07-04,268,1859,476,63.5,7,1,26,Cartão de Crédito,True,True,2,5,0
CL000155,Cliente_155,18,M,Sul,Bienal,Padrão,260.9,2,2022-10-01,269,112,233,45.5,3,7,37,Cartão de Crédito,True,True,3,0,1
CL000156,Cliente_156,22,F,Sudeste,Anual,Premium,65.1,22,2023-10-19,232,105,171,82.9,2,7,55,Cartão de Crédito,True,False,0,5,0
CL000157,Cliente_157,43,F,Norte,Mensal,Padrão,199.18,50,2022-12-15,445,1534,90,22.1,1,10,22,Boleto,False,False,1,5,0
CL000158,Cliente_158,72,M,Nordeste,Bienal,Básico,229.26,22,2022-04-25,450,1244,162,42.0,3,2,11,Débito Automático,True,False,0,0,1
CL000159,Cliente_159,31,M,Sudeste,Anual,Premium,294.47,58,2022-10-28,157,1680,284,53.2,7,10,12,Cartão de Crédito,False,False,3,10,0
CL000160,Cliente_160,56,F,Norte,Mensal,Básico,251.79,3,2023-03-22,441,1485,5,50.9,7,4,32,Boleto,True,True,3,0,1
CL000161,Cliente_161,44,M,Centro-Oeste,Mensal,Premium,119.06,46,2022-06-11,396,637,243,92.2,5,8,14,Boleto,False,True,2,5,0
CL000162,Cliente_162,26,F,Sul,Mensal,Básico,227.39,50,2023-04-10,173,103,420,30.0,4,6,15,Cartão de Crédito,False,False,1,5,0
CL000163,Cliente_163,32,Outro,Sul,Anual,Padrão,240.82,45,2022-01-04,219,1928,378,6.6,4,7,33,PIX,False,True,3,15,0
CL000164,Cliente_164,32,M,Sudeste,Mensal,Básico,232.43,8,2022-09-27,470,1912,472,91.7,1,10,8,Boleto,False,False,0,5,0
CL000165,Cliente_165,43,M,Sudeste,Anual,Premium,255.04,4,2023-05-28,453,383,340,22.5,6,6,41,Cartão de Crédito,False,True,3,0,1
CL000166,Cliente_166,59,F,Sul,Mensal,Padrão,275.93,15,2022-07-02,306,821,441,38.5,0,9,51,Cartão de Crédito,False,False,2,0,0
CL000167,Cliente_167,30,F,Sudeste,Bienal,Premium,74.61,44,2023-06-04,58,1115,447,53.6,5,10,26,Boleto,False,False,2,0,1
CL000168,Cliente_168,68,F,Nordeste,Mensal,Padrão,76.19,46,2022-04-19,416,1923,158,97.6,5,10,47,Cartão de Crédito,False,False,3,15,1
CL000169,Cliente_169,49,Outro,Centro-Oeste,Bienal,Básico,249.1,52,2023-10-03,329,1482,122,54.0,2,9,14,PIX,False,False,3,15,1
CL000170,Cliente_170,56,M,Centro-Oeste,Bienal,Básico,113.09,39,2022-11-02,174,792,359,45.3,5,6,34,Cartão de Crédito,False,False,1,10,0
CL000171,Cliente_171,66,F,Nordeste,Mensal,Familia,64.64,56,2023-10-17,211,1888,433,58.8,0,6,33,PIX,False,False,3,20,1
CL000172,Cliente_172,69,F,Centro-Oeste,Mensal,Padrão,150.31,12,2023-06-04,85,1405,463,97.1,0,9,39,Débito Automático,True,False,0,5,0
CL000173,Cliente_173,49,F,Centro-Oeste,Mensal,Premium,254.97,29,2023-09-16,53,756,187,82.0,1,10,29,Cartão de Crédito,True,False,1,5,0
CL000174,Cliente_174,21,M,Sul,Bienal,Básico,81.64,9,2022-07-23,462,1051,13,17.7,1,9,47,PIX,True,True,3,15,0
CL000175,Cliente_175,47,F,Sudeste,Anual,Familia,217.96,42,2022-06-06,136,727,69,80.5,6,3,22,Cartão de Crédito,True,False,1,0,0
